step: 0 | item: 0 | time: 1 (0) | value: HgUeyNFXICSxgWfQUWNOVrKPEGxPRYtwyycpvkfMNmksWrnKcF
step: 1 | item: 0 | time: 1003 (1002) | value: IhVfzOGYJDTyhXgRVXOPWsLQFHyQSZuxzzdqwlgNOnltXsoLdG
step: 0 | item: 1 | time: 2003 (1000) | value: TSySAPofZCeUPAOgOyFBPJRIYmeWnrpxjLoAwxhsCXosZvtDnY
step: 1 | item: 1 | time: 3005 (1002) | value: UTzTBQpgADfVQBPhPzGCQKSJZnfXosqykMpBxyitDYptAwuEoZ
step: 0 | item: 2 | time: 4004 (999) | value: YFxSnkfUXRBngoktYNouzrdItijayPSmSjFGbAoLYNRdpsTsWD
step: 2 | item: 0 | time: 4005 (1000) | value: iHvFZogyjdtYHxGrvxopwSlqfhYqszUXZZDQWLGnoNLTxSOlDg
step: 1 | item: 2 | time: 5006 (1001) | value: ZGyTolgVYSCohpluZOpvaseJujkbzQTnTkGHcBpMZOSeqtUtXE
step: 3 | item: 0 | time: 5007 (1002) | value: hYqszUXZZDQWLGnoNLTxSOlDgiHvFZogyjdtYHxGrvxopwSlqf
step: 0 | item: 3 | time: 6006 (999) | value: zoZnWQjVWXRbDGlgUbbrTHspOGgKuDOObxEaFtueZhlUgejQJn
step: 1 | item: 3 | time: 7008 (1002) | value: apAoXRkWXYScEHmhVccsUItqPHhLvEPPcyFbGuvfAimVhfkRKo
step: 2 | item: 1 | time: 8008 (1000) | value: utZtbqPGadFvqbpHpZgcqksjzNFxOSQYKmPbXYITdyPTaWUeOz
step: 0 | item: 4 | time: 8008 (1000) | value: EQxeJrZAULCHFmiwOIyXUnSsSTkqCzEuMrczjpIneDSRAYmABZ
step: 3 | item: 1 | time: 9009 (1001) | value: NFxOSQYKmPbXYITdyPTaWUeOzutZtbqPGadFvqbpHpZgcqksjz
step: 1 | item: 4 | time: 9010 (1002) | value: FRyfKsABVMDIGnjxPJzYVoTtTUlrDaFvNsdakqJofETSBZnBCA
step: 2 | item: 2 | time: 11009 (2000) | value: zgYtOLGvyscOHPLUzoPVASEjUJKBZqtNtKghCbPmzosEQTuTxe
step: 3 | item: 2 | time: 12010 (1001) | value: JKBZqtNtKghCbPmzosEQTuTxezgYtOLGvyscOHPLUzoPVASEjU
step: 2 | item: 3 | time: 14010 (2000) | value: APaOxrKwxysCehMHvCCSuiTQphHlVeppCYfBgUVFaIMvHFKrkO
step: 3 | item: 3 | time: 15012 (1002) | value: hHlVeppCYfBgUVFaIMvHFKrkOAPaOxrKwxysCehMHvCCSuiTQp
step: 2 | item: 4 | time: 17012 (2000) | value: frYFkSabvmdigNJXpjZyvOtTtuLRdAfVnSDAKQjOFetsbzNbca
step: 3 | item: 4 | time: 18014 (1002) | value: uLRdAfVnSDAKQjOFetsbzNbcafrYFkSabvmdigNJXpjZyvOtTt
